Rank,Name,Position,Age,Height,Weight,College,TLDR,FB,FBf,2nd,2ndf,3rd,3rdf,4th,4thf,5th,5thf,Commandp,Commandf,Velos,Contact,Contactf,G Power,G Powerf,R Power,R Powerf,Speed,Speedf,Field,Fieldf,Arm,FV,DS,DV,ETA,Slot,Drafted/College,Bonus_pred
150,Mavrick Rizy,SP,19.5,6'9,225,LSU,Spring velo spike has elevated his ceiling which should be pretty high once he grows into his 6'9 frame. Has a 2-plane CB which moves off his FB well.,45,60,50,55,30,45,,,,,25,35,"91-95/98, CB76-79, SP86-89",,,,,,,,,,,,35,48.20,,2028,,LSU,"$1,493,716"
21,Braylon Doughty,SP,18.6,6'1,195,Oklahoma State,"FB currently with ordanary shape, bit could become a weapon if more ride is added. Both the SL and CB spin in the 3000 range with massive late life and feel for both. Raw feel for the CH.",40,50,60,65,55,55,30,40,,,30,60,"92-94/96, SL82-85, CB79-82, CH86-89",,,,,,,,,,,,50,54.18,,2029,,Oklahoma State,"$3,238,743"
86,Jaxon Jelkin,SP,21.6,6'5,200,Houston,"High spin SL is the best offering that has shown to have great feel. FB with lots of run gets almost 38"" of Hor seperation. CH is raw and thrown hard but shown to have good upside.",50,50,60,60,35,45,,,,,35,40,"92-94/95, SL82-85, CH84-87",,,,,,,,,,,,40,45.20,,2027,,Houston,"$722,553"
158,Phil Fox,RP,21.8,5'9,185,Pittsburgh,RP transfer that showed elite command this year in addition to his already great stuff. Heavy FB usage that from his smaller frame has a flat VAA.,55,55,45,45,40,40,,,,,50,55,"91-93/95, SL80-86, CH86",,,,,,,,,,,,35,36.05,,2026,,Pittsburgh,"$259,422"
165,Ryan Andrade,RP,21.3,6'2,175,Pittsburgh,"Poor command led to poor numbers throughout his college career. FB with over 20"" of ride at quality velo, but still gets tagged when not spotted effectively. SL with sweep and late life tunneling well, but not much feel for other offerings.",55,60,55,55,45,45,40,40,,,20,30,"91-94/95, SL80-84, CH85-88, CB80-82",,,,,,,,,,,,35,42.96,,2027,,Pittsburgh,"$708,076"
119,Cade Townsend,SP,19.2,6'2,180,Mississippi,FB with rising action thrown hard. CB with great feel and spun hard. SP & SL have raw feel. Older for the class which may push him to Ole Miss.,55,55,60,60,40,45,35,40,,,25,35,"92-95/97, CB80-83, SL85-88, SP84-87",,,,,,,,,,,,40,47.33,,2030,,Mississippi,"$1,645,535"
112,Grant Shepardson,SP,18.8,6'2,185,San Francisco,"Late riser that leans on the FB/SL combo. FB with a sink and run profile, while the SL gets heavy sweep. Makes for an interesting profile from his lower release. CH thrown hard and that pitch + the CB lack feel.",55,55,55,55,45,45,30,40,,,25,40,"92-94/95, SL78-81, CB79-80, CH86-88",,,,,,,,,,,,40,47.42,,2030,,San Francisco,"$1,665,349"
162,Luke Hayden,RP,21.6,6'1,195,Indiana State,Leans heavy into the FB/SL. FB has shown more life as the season has progressed. SL gets heavy depth with late action and is the best offering. Still learning feel for the CB/CH. Command has always been an issue for him.,50,50,65,65,35,40,30,35,,,25,35,"92-95/97, SL84-87, CH87-88, CB75-77",,,,,,,,,,,,35,41.78,,2026,,Indiana State,"$263,375"
170,Brandon Clarke,SP,21.3,6'4,220,South Carolina,Feel for the FB and CH with good upside on the CB with some wonky mechanics.,55,55,55,55,35,50,,,,,25,40,"93-95/98, CH88-90, CB79-80",,,,,,,,,,,,35,43.58,,2028,,South Carolina,"$454,959"
17,Malcolm Moore,C,20.9,6'2,215,Stanford,"Bat first catcher profile with a good arm, but still likely going to move to 1B at the upper level. Kyle Schwarber-esque open stance with huge power that's inconsistently tapped into. Good contact skills regardless.",,,,,,,,,,,,,,35,55,30,50,60,65,35,35,30,45,55,50,54.56,,2027,,Stanford,"$2,449,566"
32,Walker Janek,C,21.8,6',190,Sam Houston State,"Great raw power potential, with the great Cape performance curbing the lack of reps vs velo. 3B/C verstaility but should be able to hang behind the plate with athleticism and great arm behind the plate.",,,,,,,,,,,,,,30,45,30,55,55,60,40,35,45,55,60,45,50.10,,2027,,Sam Houston State,"$1,933,185"
187,Owen Ayers,C,23.1,6'2,185,Marshall,"Old player for the class that holds considerable power potential. Plays a fringe catcher and will likely be pushed to 1B, but has played LF before.",,,,,,,,,,,,,,35,40,30,55,55,55,35,35,30,40,40,35,42.34,,2027,,Marshall,"$371,837"
101,Grant Knipp,C,22.7,6'2,230,Campbell,"Loud first half of '24 but missed the second half to injury, adding to his cloudy statistical reliability. TWP past, but may need to move off C in the future.",,,,,,,,,,,,,,30,45,30,55,55,55,40,35,30,40,60,40,44.51,,2028,,Campbell,"$628,220"
126,Cade Arrambide,C,18.8,6'3,210,LSU,"Great defensive Catcher with a terrific arm, possesses good power but has swing and miss flaws. Jorge Alfaro type.",,,,,,,,,,,,,,20,30,30,60,55,60,45,40,30,55,60,40,44.42,,2031,,LSU,"$2,117,923"
54,Jacob Cozart,C,21.5,6'3,220,NCST,Defensive ace behind the plate with a great arm. Average power with whiff issues at the plate.,,,,,,,,,,,,,,25,40,30,50,50,55,30,30,50,60,65,40,45.57,,2028,,NCST,"$696,940"
143,Levi Clark,C,18.0,6'2,195,Tennessee,Excellent combo of raw pop and arm from behind the plate. Hit tools have been a concern.,,,,,,,,,,,,,,20,35,30,50,50,55,30,30,30,50,55,35,43.17,,2031,,Tennessee,"$1,362,789"
71,Caleb Lomavita,C,21.6,5'11,200,Cal,Bat speed and strength combine for good raw and in game power. Has struggled with whiffs in a huge way likely due to his timing. Big arm behind the plate.,,,,,,,,,,,,,,25,40,35,60,60,60,30,30,35,45,60,40,46.71,,2028,,Cal,"$595,600"
109,Kevin Bazzell,C,21.3,6'1,205,Texas Tech,"Great contact skills mixed with good swing decisions. Would benefit greatly from ABS from poor framing, but has a strong arm.",,,,,,,,,,,,,,35,60,25,35,35,40,30,30,30,40,60,40,46.92,,2027,,Texas Tech,"$756,296"
142,Ryan Campos,C,21.8,5'9,180,Arizona State,Very undersized Catcher with a great hit tool. Raw power is not there and defensive quality is fringe.,,,,,,,,,,,,,,35,60,25,30,30,40,40,35,30,45,45,35,42.92,,2028,,Arizona State,"$390,067"
194,Bennett Thompson,C,21.5,5'10,195,Oregon,"Good mix of contact and arm, defensively is still a ways away.",,,,,,,,,,,,,,30,55,25,35,30,40,40,35,30,40,55,30,42.94,,2028,,Oregon,"$365,617"
66,Nathan Flewellling,C,17.7,6'2,200,Gonzaga,Strong performance at the Draft Combine by showing off his raw power boosting his stock. Massive frame at a young age but still very athletic.,,,,,,,,,,,,,,25,40,30,55,60,65,50,45,30,45,45,40,52.72,,2029,,Gonzaga,"$2,267,479"
14,Nick Kurtz,1B,21.3,6'6,240,Wake Forest,"Turned a corner once the shoulder issue was figured out, brings a plus approach, power, and defensive skillset to 1B.",,,,,,,,,,,,,,30,60,40,60,60,65,40,35,40,55,45,50,60.89,,2026,,Wake Forest,"$4,854,873"
1,Travis Bazzana,2B,21.8,6',200,Oregon State,Very patient hitter with great pop maximized in game. Confined to 2B lacking stature and overall athletic tools. Provides terrific upside for a non risky profile.,,,,,,,,,,,,,,35,60,30,55,55,55,55,50,40,50,40,60,57.68,,2026,,Oregon State,"$5,202,766"
3,JJ Wetherholt,2B,21.8,5'10,210,West Virginia,"Special mix of offensive tools, most notably contact quality and swing decisions. Positional toolshed that projects to either 2B/3B. Big medical red flags.",,,,,,,,,,,,,,30,65,35,55,55,60,55,55,40,55,45,55,59.36,,2027,,West Virginia,"$5,021,567"
37,Tommy White,3B,21.3,6'1,230,LSU,"Tommy Tanks does drop tanks, but he's not called Tommy Disciplined for a reason! Can handle 3B, but his skills there are fringe and will likely push him to 1B.",,,,,,,,,,,,,,25,40,35,55,55,55,40,35,35,45,45,45,47.59,,2027,,LSU,"$1,314,349"
4,Jac Caglianone,1B,21.4,6'5,250,Florida,"LB framed 1B / Corner OFer with the best power in the Draft, but extreme swing decision woes. A laughably awful chase rate holds him back from being the easy 1-1. Is a 40 overall pitcher despite his top velo.",,,,,,,,,,,,,,25,45,40,70,80,80,40,35,35,45,65,55,58.46,,2027,,Florida,"$5,489,609"
110,Owen Paino,SS,18.5,6'3,205,Mississippi,"Big statured HSer that can play SS, but may be better suited for 3B/LF/RF later down the line.",,,,,,,,,,,,,,20,40,30,55,55,60,40,40,25,45,50,40,51.89,,2029,,Mississippi,"$2,172,604"
15,Seaver King,SS,21.2,6',195,Wake Forest,"Muddied offensive profile with great bat speed and raw pop, but a poor swing path and chase issues. SS/CF defensive versatility go a long ways to boosting his profile.",,,,,,,,,,,,,,25,35,30,55,60,65,65,70,50,55,55,50,51.27,,2028,,Wake Forest,"$2,188,668"
2,Charlie Condon,3B,21.3,6'6,216,Georgia,"Similar in postitional versatility and size to Kris Bryant. Loudest combo of hit and power tools, but will be confined to the corners defensively and athletically.",,,,,,,,,,,,,,35,55,35,65,70,70,40,35,40,45,50,60,61.63,,2026,,Georgia,"$5,834,780"
12,Bryce Rainer,SS,19.0,6'3,195,Texas,Loud power and arm (form his TWP ability) grades. Speed and hit tool are quality as well giving a top half of the 1st round profile.,,,,,,,,,,,,,,25,55,30,60,55,60,55,50,40,50,70,50,60.38,,2029,,Texas,"$4,716,290"
60,Anthony Silva,SS,20.9,6'2,200,TCU,Above average athlete and defender that should remain at SS. Lacks raw power but still has good bat-to-ball skills,,,,,,,,,,,,,,30,55,25,40,35,40,60,60,45,60,50,40,52.16,,2027,,TCU,"$1,697,601"
7,Cameron Smith,3B,21.3,6'3,225,Florida State,Least talked about top player of the draft. Huge power from a simple stroke and improved his swing decision skills in '24. Will stick at 3B long term where he has great agility.,,,,,,,,,,,,,,35,55,35,65,65,65,60,55,30,45,50,55,61.75,,2026,,Florida State,"$5,613,360"
76,Griff O'Ferrall,SS,21.4,6'1,185,Virginia,"Gold Glove SS winner with a stereotypical 9-hitter, defensive ace profile. Great-to-ball skills but swings at everything, and struggles to reach top notch pop, though has room to grow.",,,,,,,,,,,,,,35,50,25,30,35,40,60,60,60,65,60,40,48.45,,2027,,Virginia,"$1,181,486"
107,Brendan Lawson,3B,18.6,6'3,195,Florida,Unique batting stance creates lots of whip adding power. Good swing decisions in his game as well. Liklier to end at 3B than SS based on athleticism and defensive tools.,,,,,,,,,,,,,,25,45,30,50,50,55,45,45,35,50,45,40,51.14,,2029,,Florida,"$1,923,419"
65,Charlie Bates,SS,18.8,6'1,185,Stanford,"Smooth defender at SS with plus actions. Quality combination of future raw power, bat-to-ball, and swing decisions.",,,,,,,,,,,,,,25,50,35,45,40,50,50,55,40,60,50,40,58.48,,2027,,Stanford,"$4,463,399"
168,Cody Schrier,SS,21.5,6'1,200,UCLA,Defensive-first SS with pull-side power. Spin recognition is a severe problem limiting his offensive profile.,,,,,,,,,,,,,,20,30,25,40,45,55,50,50,35,55,50,35,41.90,,2028,,UCLA,"$304,443"
85,Kaelen Culpepper,SS,21.5,6',190,Kansas State,Poor contact tools hold him back from an intriguing profile given his good pop and great defensive ability.,,,,,,,,,,,,,,25,30,30,50,50,55,55,50,40,60,60,40,44.98,,2028,,Kansas State,"$691,698"
13,Christian Moore,2B,21.7,6'1,210,Tennessee,"Massive pop at 2B with a SS arm, but lacks the agility for the position. Considerable whiff concerns holding back elite offensive profile.",,,,,,,,,,,,,,25,50,35,65,65,65,45,40,40,50,55,50,58.83,,2026,,Tennessee,"$4,406,133"
64,JD Dix,3B,18.8,6'2,180,Wake Forest,Still projects to grow in stature but currently with fringe agility. Offensive tools are there with good swing decisions and bat speed for pure hitting ability from both sides of the plate.,,,,,,,,,,,,,,30,50,30,50,50,60,45,45,35,55,45,40,51.96,,2030,,Wake Forest,"$1,961,028"
130,Bryce Clavon,SS,18.7,6',185,Georgia,Uber athletic as a two sport athlete. Patient hitter but comes with bat-to-ball struggles.,,,,,,,,,,,,,,20,35,25,45,50,55,55,60,30,40,65,40,46.95,,2030,,Georgia,"$2,004,698"
45,Carson DeMartini,3B,21.6,6',195,Virginia Tech,"Huge whiff concerns hold back a top notch Offensive profile, built through big time raw power.",,,,,,,,,,,,,,25,35,30,60,60,60,40,35,35,45,50,45,45.82,,2028,,Virginia Tech,"$1,131,091"
44,Billy Amick,3B,21.7,6'1,220,Tennessee,"Big power tools, but scary combo of chase and whiff. Locked into the corners defensively, but has good skills for 3B.",,,,,,,,,,,,,,25,30,30,60,60,65,40,40,40,50,60,45,46.43,,2028,,Tennessee,"$1,715,408"
22,Theo Gillen,2B,18.8,6'3,200,Texas,Maybe the best Prep combination of hit and power tools. Average to fringe defensive tools likely pushing him to either 3B/2B. Medical red flags.,,,,,,,,,,,,,,30,60,25,55,50,55,50,50,30,50,45,45,60.66,,2028,,Texas,"$4,709,658"
96,Blake Burke,1B,21.1,6'3,240,Tennessee,"One of the top power hitters in the class, that expands the zone a lot. Value will solely come from the plate.",,,,,,,,,,,,,,25,40,35,55,65,65,40,35,35,45,40,40,49.31,,2027,,Tennessee,"$948,275"
94,Kyle DeBarge,SS,20.9,5'9,175,ULL,"Albeit undersized, in game power is maximized, and has great bat-to-ball ability. Will handle SS through his strong arm and good speed",,,,,,,,,,,,,,30,55,30,40,40,40,60,55,30,45,60,40,49.18,,2028,,ULL,"$1,389,568"
108,Erik Parker,SS,18.2,6'3,185,South Carolina,Good swing decisions but lacking true raw power. Great athletic and defensive abilities allowing him to be a future SS.,,,,,,,,,,,,,,25,45,20,30,40,45,55,55,45,55,50,40,46.10,,2030,,South Carolina,"$1,753,144"
52,Carter Johnson,2B,18.3,6'2,185,Alabama,Great contact quality ability that is consistently tapped into. Also shows the potential for future above average raw power. Lack of foot speed may move him to 2B in the future.,,,,,,,,,,,,,,25,55,25,50,45,55,45,45,30,55,55,40,57.11,,2029,,Alabama,"$3,443,270"
198,Ali Camarillo,SS,21.2,6'1,175,Texas A&M,Defensive standout with good contact skills at the plate.,,,,,,,,,,,,,,25,40,30,30,30,35,55,55,45,60,50,30,42.47,,2027,,Texas A&M,"$340,874"
160,Hunter Hines,1B,21.8,6'4,220,Mississippi State,Large framed 1Bman with big time power and both swing and miss and chase concerns.,,,,,,,,,,,,,,25,35,35,55,65,65,35,35,40,50,40,35,46.50,,2027,,Mississippi State,"$331,895"
155,Jared Jones,1B,20.9,6'4,230,LSU,Massive power with high whiff rates. Started at LSU as a C but was moved off to 1B.,,,,,,,,,,,,,,30,40,30,55,60,60,30,30,35,40,50,35,46.52,,2028,,LSU,"$554,132"
157,Jonathan Vastine,SS,21.8,5'11,165,Vanderbilt,Wirey plus runner SS that still possess some power.,,,,,,,,,,,,,,35,45,35,35,35,40,60,60,50,55,45,35,43.14,,2028,,Vanderbilt,"$266,592"
181,Duce Gourson,2B,21.8,6',200,UCLA,"Looked like an interesting prospect in '23 showing both on-base abilities power, but the power output dropped off in '24. Still looks position-less with fringe defensive skills.",,,,,,,,,,,,,,30,50,25,40,40,45,45,40,30,45,40,35,43.59,,2028,,UCLA,"$333,179"
135,Davis Diaz,3B,21.3,5'11,190,Vanderbilt,Good combination of raw power and contact rates. Has the defensive versatility for all INF positions. Once prominent HS prospect has fallen off a bit.,,,,,,,,,,,,,,35,55,30,40,50,50,40,40,40,50,45,35,49.82,,2027,,Vanderbilt,"$1,061,531"
159,Ethan Puig,3B,18.5,6',195,Miami,Hit over field and power HS prospect with good barrel accuracy.,,,,,,,,,,,,,,25,55,25,45,45,50,40,40,20,40,40,35,49.26,,2030,,Miami,"$1,357,100"
92,Ethan Anderson,1B,20.8,6'2,215,Virginia,Struggles with bat to ball ability. Strong power but not tapped into nearly enough. Plays C too but is more fringe than average there.,,,,,,,,,,,,,,30,45,35,50,55,55,30,30,35,45,55,40,49.20,,2027,,Virginia,"$984,589"
53,PJ Morlando,1B,19.1,6'3,200,South Carolina,"Arguable top raw power within the prep department of the class. Athletically caught in the middle of corner OF/1B pinch, but likely will be pushed to stay at 1B.",,,,,,,,,,,,,,25,50,30,60,55,60,45,40,25,50,45,40,54.10,,2029,,South Carolina,"$1,842,121"
34,Tyson Lewis,SS,18.5,6'2,205,Arkansas,Excellent straight-line speed from a somewhat strong frame. All fields power at the plate with an iffy hit tool. May be pushed to either 2B or CF based on arm and general defensive skill.,,,,,,,,,,,,,,25,40,25,55,50,55,70,65,30,45,50,45,50.73,,2030,,Arkansas,"$2,439,071"
33,Caleb Bonemer,3B,18.8,6'1,195,Virginia,"Great bat speed gives easy plus power, but his offensive package comes with an iffy hit tool. Can handle SS but likely ends at 3B due to a lack of athleticism. Physically and mechanically similar to Matt Chapman.",,,,,,,,,,,,,,25,40,30,55,50,60,45,40,30,55,50,45,51.48,,2029,,Virginia,"$2,350,917"
117,Samuel Richardson,3B,18.9,6'1,195,Texas,Big power in the profile with an aggresive approach at the plate. Has good agility and a quality arm for 3B.,,,,,,,,,,,,,,20,30,30,55,60,60,50,50,30,40,55,40,43.55,,2031,,Texas,"$1,537,054"
174,Zander Darby,3B,21.6,6'3,205,UC Santa Barbara,Great bat-to-ball swing decision skills with fringe power and athleticism.,,,,,,,,,,,,,,30,55,25,30,40,40,40,40,40,45,45,35,44.78,,2027,,UC Santa Barbara,"$576,703"
39,Joshua Kuroda-Grauer,SS,21.4,6',195,Rutgers,"Bat-to-ball outlier with gerat athleticism, lacking strength and struggles to generate pop.",,,,,,,,,,,,,,30,60,25,35,35,45,55,55,35,55,50,45,50.08,,2028,,Rutgers,"$1,558,577"
63,Eli Serrano III,1B,21.2,6'5,200,NCST,Great contact abilities to iffy power. 1B and corners OF versatility with quality athleticism to handle the OF.,,,,,,,,,,,,,,30,55,30,45,45,50,45,45,35,45,40,40,48.20,,2028,,NCST,"$771,844"
81,Cole Mathis,1B,20.9,6'1,210,Charleston,Combos discipline and hit quality very well in a 1B/3B profile.,,,,,,,,,,,,,,35,60,30,50,50,55,40,35,30,40,60,40,55.06,,2027,,Charleston,"$1,911,040"
78,Corey Collins,1B,22.8,6'3,235,Georgia,"Cursed by being an old 1Bman, but lives through his massive in game power, plate discipline and swing path.",,,,,,,,,,,,,,30,50,35,60,60,60,30,30,35,40,50,40,51.48,,2026,,Georgia,"$865,399"
153,Gage Miller,3B,21.3,6',200,Alabama,"Great strikeout prevention abilities, with fringe offensive athleticism. Has the arm strength to move around the INF, but still likely pinned to 3B agility-wise.",,,,,,,,,,,,,,35,45,25,40,40,45,40,35,30,45,44,35,44.19,,2027,,Alabama,"$670,927"
205,Luke Broadhurst,3B,25.8,6'2,215,Connectcuit,Super old for the class corner INFer with quality power.,,,,,,,,,,,,,,30,35,25,50,50,50,35,35,25,35,40,30,35.79,,2027,,Connectcuit,"$340,214"
80,Sean Keys,1B,21.1,6'2,220,Bucknell,Terrific bat-to-ball and approach skills. Lower on the athleticism likely moving him to 1B.,,,,,,,,,,,,,,35,60,25,50,55,55,35,35,30,40,55,40,54.31,,2027,,Bucknell,"$1,594,824"
206,Blake Wright,3B,22.4,6',205,Clemson,Aggressive hitter with quality power after a Senior year breakout.,,,,,,,,,,,,,,30,35,25,50,45,50,35,35,35,45,45,30,41.74,,2027,,Clemson,"$394,247"
58,Peyton Stovall,1B,21.4,5'11,200,Arkansas,Aggressive power hitter that has had an injury bug history. 1B/2B versatility but likely will stick at 1B.,,,,,,,,,,,,,,30,40,30,50,55,55,50,45,35,50,40,40,46.60,,2027,,Arkansas,"$408,360"
121,Trey Snyder,SS,18.8,6'2,200,Tennessee,Quality defender and contact tools with less than fringe future power.,,,,,,,,,,,,,,25,55,20,35,35,40,50,50,35,50,50,40,49.79,,2029,,Tennessee,"$2,051,920"
199,Jacob Walsh,1B,21.3,6'4,225,Oregon,Big raw power mixed with horrendous hit tools. Confined to 1B has there's little athleticism.,,,,,,,,,,,,,,20,30,30,55,60,65,35,30,30,35,40,30,42.19,,2028,,Oregon,"$329,136"
211,Drew Smith,3B,21.1,6'2,200,Oregon,Promising Freshman year was not built upon in '24. No tools above below-average.,,,,,,,,,,,,,,25,40,25,35,35,40,45,40,30,40,45,30,39.05,,2028,,Oregon,"$538,973"
152,Emilien Pitre,2B,21.8,5'11,165,Kentucky,"Tony Kemp-like profile. Acrobat plays at 2B, but will hang there based on lack of foot speed. Could build into 35 raw pop, while still possessing great on-base abilities.",,,,,,,,,,,,,,30,55,20,30,30,30,50,45,40,55,50,35,44.14,,2027,,Kentucky,"$378,979"
151,Sam Antonacci,SS,21.4,6',185,Coastal Carolina,Good hit tool built through plate discipline and contact rates. Full INF defensive versatility.,,,,,,,,,,,,,,30,55,25,30,30,35,55,55,35,50,45,35,44.48,,2028,,Coastal Carolina,"$280,542"
127,Sawyer Farr,SS,19.1,6'5,185,Texas A&M,Has showcased some raw power with a good ability to make contact. Additionally is a SS with range.,,,,,,,,,,,,,,25,55,25,40,45,50,50,50,35,50,45,40,49.77,,2030,,Texas A&M,"$1,768,771"
195,Woody Hadeen,SS,21.9,6'2,195,UC Irvine,Under the radar great hit tools with gap power and the ability to stay at SS.,,,,,,,,,,,,,,35,60,30,30,30,30,45,45,40,50,45,30,43.54,,2028,,UC Irvine,"$329,618"
48,Tyler Bell,SS,19.0,6'1,190,Kentucky,Defensive-first SS also possessing quality raw pop who should move through an org quickly.,,,,,,,,,,,,,,20,40,25,45,45,50,50,55,35,55,50,45,50.85,,2028,,Kentucky,"$2,640,421"
83,Aiden Harris,1B,17.8,6'4,220,Virginia,"Showed great raw pop in the Combine and comes as one of the youngest in the class. Still has bat-to-ball concerns and likely will be pushed to 1B athletically, despite a good arm.",,,,,,,,,,,,,,20,30,30,55,60,70,40,35,25,50,50,40,48.42,,2030,,Virginia,"$1,713,958"
31,Kale Fountain,3B,18.9,6'5,230,LSU,"Massive frame that still moves at an above average level. Still comes with plus power and a good hit tool. Currently plays 3B & 1B, but if his mobility remains as he ages, then could make a fit in the corner OF.",,,,,,,,,,,,,,20,45,25,55,55,65,55,50,25,45,60,45,52.63,,2030,,LSU,"$2,286,399"
8,Konnor Griffin,CF,18.2,6'4,210,LSU,"Ultra versatile speciman. At least plus grades in power, speed, and arm. Likely holding as a CF, but could hold as a SS. Tangible future as a RHP too.",,,,,,,,,,,,,,25,40,25,60,55,65,70,65,40,55,60,55,60.60,,2028,,LSU,"$6,108,384"
16,Vance Honeycutt,CF,21.1,6'3,205,North Carolina,"Once in consideration for 1-1 with his 5 tool upside, though his contact abilities have dropped off significantly. Still one of the top defenders in the Draft with great pop.",,,,,,,,,,,,,,25,35,30,60,60,65,65,60,50,70,55,50,52.00,,2028,,North Carolina,"$2,292,735"
5,Braden Montgomery,RF,21.2,6'2,220,Texas A&M,"Best combo of flashy Power/Arm/Speed tools in the Draft, though skills wise locked into RF. Major whiff and some swing decision skills knock down the upside a bit.",,,,,,,,,,,,,,25,40,35,60,60,60,50,45,35,45,70,55,52.82,,2027,,Texas A&M,"$3,638,609"
35,Luke Dickerson,CF,18.9,6',190,Virginia,Strong frame with a nice combo of speed and power. Up the middle versatility with both CF/SS in his bag.,,,,,,,,,,,,,,25,40,30,50,50,55,60,60,35,55,50,45,50.66,,2029,,Virginia,"$2,222,928"
90,Mike Sirota,CF,21.0,6'3,190,Northeastern,"Didn't progress in '24 after a huge '23. Still has quality power and is a great defender, but bat-to-ball skills are a big ?.",,,,,,,,,,,,,,25,35,30,50,50,55,60,60,50,55,50,40,46.62,,2028,,Northeastern,"$447,480"
30,Slade Caldwell,CF,18.0,5'9,180,Mississippi,Arguable top speed grade in the Draft with good contact tools while already maxed out his size. Downside is the power is not there. ,,,,,,,,,,,,,,25,55,25,35,35,40,70,70,40,55,40,45,52.13,,2029,,Mississippi,"$2,959,682"
23,Ryan Waldschmidt,LF,21.8,6'2,205,Kentucky,"Great plate vision and raw pop builds together an intriguing offensive profile. Poor arm and fringe defensive actions keeps a LF future here, though he can play CF",,,,,,,,,,,,,,30,60,35,60,55,60,55,50,35,50,40,45,56.78,,2027,,Kentucky,"$2,346,866"
56,Dakota Jordan,CF,21.2,6',220,Mississippi State,"Physical OFer with big power and poor bat-to-ball skills, especially with spin recognition. Fringe defensive ability may push him to a Corner.",,,,,,,,,,,,,,25,30,40,55,65,65,60,55,35,45,45,40,46.05,,2028,,Mississippi State,"$397,939"
140,Will Taylor,CF,21.5,5'11,185,Clemson,"Great speed and contact tools, desperately lacking raw power. Popular prep guy in '21 from his baseball/football duel prospect status.",,,,,,,,,,,,,,30,45,25,30,35,35,65,65,35,45,45,35,40.58,,2028,,Clemson,"$226,044"
87,Michael Mullinax,RF,19.0,6'1,195,Georgia,"Great display of power, speed, and raw arm grades from the Prep Circuit, with the defensive chops to keep him in CF>",,,,,,,,,,,,,,30,35,25,45,45,50,65,65,40,55,60,40,45.63,,2030,,Georgia,"$1,479,045"
100,Rodney Green Jr.,CF,21.3,6'3,190,Cal,"Swing and miss flaws carried over from the Cape into '24. Still has quality pop, swing decision skills, OF IQ, and Speed.",,,,,,,,,,,,,,25,30,30,60,60,60,55,60,50,60,45,40,45.52,,2029,,Cal,"$690,760"
62,Sawyer Strosnider,CF,19.0,6'2,180,TCU,Older for the class though has a good collection of raw power and arm strength coupled with some of the best speed in the class.,,,,,,,,,,,,,,20,35,25,50,55,60,65,65,25,45,55,40,47.66,,2030,,TCU,"$1,236,115"
73,Will Turner,RF,21.8,6'1,195,South Alabama,"Easy, smooth swing with barrel adjustments to make consistent contact quality.",,,,,,,,,,,,,,30,55,30,50,50,50,40,40,40,55,45,40,51.15,,2027,,South Alabama,"$968,100"
61,Jacob Jenkins-Cowart,RF,21.6,6'6,210,East Carolina,"Raw power, swing decisions, and arm strength lead his profile. Lack of range may move him from the OF to 1B.",,,,,,,,,,,,,,35,45,30,55,60,60,40,35,35,40,55,40,50.42,,2027,,East Carolina,"$785,469"
196,Fabio Peralta,CF,18.4,6'2,185,Miami,Once promising HS prospect that through swing mechanic concerns and lack of power growth has fallen off.,,,,,,,,,,,,,,20,30,25,35,40,45,55,55,35,50,45,30,37.99,,2031,,Miami,"$930,119"
146,Nick McLain,RF,21.5,5'10,190,Arizona State,Great bat-to-ball skills with fringe power. Good arm with middling speed which will move him to RF. Has often battled injuries throughout college.,,,,,,,,,,,,,,30,50,35,40,40,40,45,45,40,50,55,35,44.80,,2028,,Arizona State,"$412,270"
28,Carson Benge,LF,21.4,6'1,185,Oklahoma State,"Good contact tools combined with raw pop, that is not fully utilized in game. Has run as a TWP, but likely makes his future in the corner OF.",,,,,,,,,,,,,,35,55,30,55,55,60,45,50,30,45,60,45,53.51,,2028,,Oklahoma State,"$2,034,464"
106,Ivan Brethowr,RF,21.4,6'6,250,UC Santa Barbara,Massive human being that can send a baseball a very long way. Lots of chase out of the zone limiting his ability to show off the power consistently.,,,,,,,,,,,,,,25,30,30,55,65,65,35,35,35,45,60,40,47.08,,2027,,UC Santa Barbara,"$1,034,243"
178,Carter Mathison,CF,21.4,6'1,215,Indiana,Defensive specialist in CF that has quality raw power.,,,,,,,,,,,,,,25,35,25,35,45,45,60,60,45,55,50,35,40.89,,2028,,Indiana,"$260,365"
183,Jackson Linn,CF,21.2,6'3,210,Tulane,"Very high combination of chase and whiff making for one of the lowest hit tools in the class, matched with great power however. Great athlete boosting his profile.",,,,,,,,,,,,,,20,20,25,50,65,65,60,60,30,55,50,35,41.33,,2029,,Tulane,"$514,592"
10,James Tibbs III,LF,21.8,6',200,Florida State,Corner OFer with big pop to all fields and plate discipline skills. Shades of Jesse Winker.,,,,,,,,,,,,,,30,55,35,60,60,60,40,35,30,40,55,50,54.11,,2027,,Florida State,"$2,174,959"
75,Fenwick Trimble,LF,21.8,6'3,200,James Madison,"Aggresive LD hitter that makes great contact quality. Has the ability to play CF, but will likely move back to LF.",,,,,,,,,,,,,,35,55,30,55,55,60,50,45,30,45,45,40,51.28,,2028,,James Madison,"$909,603"
